GET /persons 404 146 - 0.970 ms {}
GET /api/persons 200 332 - 2.422 ms {}
GET /api/persons 304 - - 1.147 ms {}
GET /api/persons 200 332 - 0.737 ms {}
OPTIONS /persons 204 0 - 0.364 ms {}
POST /persons 404 147 - 1.638 ms {"name":"Miquel","number":"432132134","id":"187d479a-cbcf-4d68-9c08-298c25d265fd"}
GET /api/persons 200 332 - 0.914 ms {}
OPTIONS /persons 204 0 - 0.155 ms {}
POST /persons 404 147 - 1.100 ms {"name":"Miquel","number":"432132134","id":"75c940df-2691-4999-b1eb-a7146d1adca4"}
OPTIONS /api/persons 204 0 - 0.093 ms {}
POST /api/persons 200 45 - 1.227 ms {"name":"Miquel","number":"432132134","id":"7b114848-a95f-429a-88d0-b9d92783713c"}
OPTIONS /api/persons/1 204 0 - 0.124 ms {}
DELETE /api/persons/1 204 - - 0.813 ms {}
GET /api/persons 200 326 - 0.752 ms {}
GET /api/persons 200 326 - 0.620 ms {}
GET /api/persons 200 332 - 3.356 ms {}
GET /api/persons 200 332 - 1.144 ms {}
OPTIONS /api/persons/2 204 0 - 0.352 ms {}
PUT /api/persons/2 404 152 - 2.562 ms {"name":"JoseAntonio","number":"39-44-123456","id":"7cc6be15-0040-4b44-91cd-b609cd17bc24"}
GET /api/persons 304 - - 1.021 ms {}
GET /api/persons 200 332 - 0.907 ms {}
OPTIONS /api/persons/2 204 0 - 0.148 ms {}
PUT /api/persons/2 404 152 - 1.075 ms {"name":"JoseAntonio","number":"39-44-123456","id":"59e72d92-2869-4ffa-80ad-19f0e5f8856c"}
OPTIONS /api/persons/2 204 0 - 0.871 ms {}
PUT /api/persons/2 500 1459 - 3.396 ms {"name":"JoseAntonio","number":"39-44-123456","id":"af5b7077-2fff-4398-83cc-1b66b195b359"}
GET /api/persons 304 - - 2.752 ms {}
GET /api/persons 200 332 - 0.839 ms {}
GET /api/persons 200 332 - 3.610 ms {}
GET /api/persons 304 - - 1.569 ms {}
GET /api/persons 304 - - 3.850 ms {}
GET /api/persons 304 - - 0.852 ms {}
OPTIONS /api/persons/1 204 0 - 0.370 ms {}
DELETE /api/persons/1 204 - - 0.881 ms {}
GET /api/persons 200 280 - 1.481 ms {}
GET /api/persons 304 - - 0.674 ms {}
GET /api/persons 304 - - 0.816 ms {}
GET /api/persons 304 - - 0.773 ms {}
OPTIONS /api/persons/2 204 0 - 0.136 ms {}
DELETE /api/persons/2 204 - - 0.884 ms {}
GET /api/persons 200 226 - 0.840 ms {}
GET /api/persons 304 - - 0.936 ms {}
GET /api/persons 304 - - 1.059 ms {}
GET /api/persons 304 - - 0.731 ms {}
OPTIONS /api/persons 204 0 - 0.210 ms {}
POST /api/persons 200 52 - 1.799 ms {"name":"CarlosAranda","number":"3241324321","id":"a18bdcdc-1a32-49c6-ba4b-494d1ad667ee"}
GET /api/persons 200 279 - 0.883 ms {}
GET /api/persons 304 - - 0.822 ms {}
OPTIONS /api/persons/7 204 0 - 0.103 ms {}
DELETE /api/persons/7 204 - - 0.639 ms {}
GET /api/persons 200 226 - 0.731 ms {}
GET /api/persons 304 - - 0.586 ms {}
OPTIONS /api/persons/3 204 0 - 0.104 ms {}
DELETE /api/persons/3 204 - - 1.061 ms {}
GET /api/persons 200 172 - 0.794 ms {}
GET /api/persons 304 - - 0.674 ms {}
OPTIONS /api/persons/4 204 0 - 0.125 ms {}
DELETE /api/persons/4 204 - - 0.650 ms {}
GET /api/persons 200 114 - 0.770 ms {}
GET /api/persons 304 - - 0.681 ms {}
OPTIONS /api/persons 204 0 - 0.086 ms {}
POST /api/persons 200 46 - 0.972 ms {"name":"Carlos","number":"4532431243","id":"70e0ad50-a809-4ee0-a460-45231f681778"}
GET /api/persons 200 161 - 0.903 ms {}
GET /api/persons 304 - - 0.777 ms {}
GET /api/persons 304 - - 0.752 ms {}
GET /api/persons 304 - - 0.719 ms {}
OPTIONS /api/persons 204 0 - 0.440 ms {}
POST /api/persons 200 56 - 0.938 ms {"name":"Carlos Benavent","number":"34321233421","id":"bd8f6e7f-38b7-4091-9cbb-76b7261dc216"}
OPTIONS /api/persons 204 0 - 0.081 ms {}
POST /api/persons 200 56 - 0.899 ms {"name":"Carla Benavent","number":" 34321233421","id":"a3c9819c-7bc2-4382-82d2-4e5bcffaf8ea"}
OPTIONS /api/persons/bd8f6e7f-38b7-4091-9cbb-76b7261dc216 204 0 - 0.135 ms {}
PUT /api/persons/bd8f6e7f-38b7-4091-9cbb-76b7261dc216 500 1459 - 1.761 ms {"name":" fdsafdas","number":"34321233421","id":"3f85108b-88a3-4227-a803-736491427c78"}
GET /api/persons 200 275 - 1.052 ms {}
GET /api/persons 304 - - 0.722 ms {}
OPTIONS /api/persons 204 0 - 0.092 ms {}
POST /api/persons 200 54 - 1.014 ms {"name":"Antonio Ortega","number":"943214321","id":"87c16406-b800-4d97-82f6-c4aaffe17757"}
OPTIONS /api/persons 204 0 - 0.083 ms {}
POST /api/persons 200 46 - 1.038 ms {"name":"fdsafdsa","number":"3214321","id":"32e86236-d642-4bc5-ab5f-26ac18a8646b"}
OPTIONS /api/persons/87c16406-b800-4d97-82f6-c4aaffe17757 204 0 - 0.154 ms {}
PUT /api/persons/87c16406-b800-4d97-82f6-c4aaffe17757 500 1459 - 1.166 ms {"name":"Clara Ortola","number":"943214321","id":"ae92147e-7044-4190-b2e7-ddcf54302806"}
GET /api/persons 200 377 - 0.914 ms {}
GET /api/persons 200 377 - 0.674 ms {}
OPTIONS /api/persons/7 204 0 - 0.119 ms {}
DELETE /api/persons/7 204 - - 0.660 ms {}
GET /api/persons 200 330 - 0.888 ms {}
GET /api/persons 200 330 - 0.652 ms {}
GET /api/persons 200 332 - 4.143 ms {}
GET /api/persons 304 - - 1.274 ms {}
GET /api/persons 304 - - 0.977 ms {}
GET /api/persons 304 - - 1.097 ms {}
OPTIONS /api/persons/1 204 0 - 0.352 ms {}
PUT /api/persons/1 - - - - ms {"name":"Miguel Antonio","number":"040-123456","id":"54f18f46-421e-418a-ba55-1f324128fd07"}
GET /api/persons 200 332 - 1.292 ms {}
GET /api/persons 200 332 - 0.671 ms {}
GET /api/persons 200 332 - 4.393 ms {}
GET /api/persons 200 332 - 1.093 ms {}
GET /api/persons 200 332 - 0.988 ms {}
GET /api/persons 200 332 - 0.943 ms {}
OPTIONS /api/persons/1 204 0 - 0.336 ms {}
PUT /api/persons/1 201 - - 1.991 ms {"name":"FASFAFSAF","number":"040-123456","id":"81004e82-b373-49aa-b6d4-f1fd62f32c33"}
GET /api/persons 200 332 - 0.945 ms {}
GET /api/persons 200 332 - 0.755 ms {}
GET /api/persons 200 332 - 1.006 ms {}
GET /api/persons 200 332 - 0.955 ms {}
OPTIONS /api/persons/1 204 0 - 0.155 ms {}
DELETE /api/persons/1 204 - - 0.799 ms {}
GET /api/persons 200 280 - 0.818 ms {}
GET /api/persons 200 280 - 0.792 ms {}
OPTIONS /api/persons/2 204 0 - 0.089 ms {}
DELETE /api/persons/2 204 - - 0.700 ms {}
GET /api/persons 200 332 - 4.883 ms {}
GET /api/persons 200 332 - 1.353 ms {}
OPTIONS /api/persons/1 204 0 - 0.417 ms {}
DELETE /api/persons/1 204 - - 0.940 ms {}
GET /api/persons 200 332 - 3.996 ms {}
GET /api/persons 200 332 - 1.329 ms {}
OPTIONS /api/persons/1 204 0 - 0.430 ms {}
DELETE /api/persons/1 500 1430 - 2.023 ms {}
GET /api/persons 200 332 - 4.631 ms {}
GET /api/persons 200 332 - 1.351 ms {}
OPTIONS /api/persons/1 204 0 - 0.450 ms {}
DELETE /api/persons/1 204 280 - 1.134 ms {}
GET /api/persons 200 280 - 1.219 ms {}
GET /api/persons 200 280 - 0.959 ms {}
GET /api/persons 200 280 - 1.040 ms {}
GET /api/persons 200 280 - 0.636 ms {}
OPTIONS /api/persons/2 204 0 - 0.871 ms {}
DELETE /api/persons/2 204 - - 2.836 ms {}
GET /api/persons 200 332 - 4.244 ms {}
GET /api/persons 200 332 - 1.153 ms {}
OPTIONS /api/persons/1 204 0 - 0.413 ms {}
DELETE /api/persons/1 204 - - 1.158 ms {}
GET /api/persons 200 332 - 5.002 ms {}
GET /api/persons 200 332 - 1.410 ms {}
PUT /api/persons/2 201 - - 3.124 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
GET /api/persons 200 332 - 2.467 ms {}
GET /api/persons 200 332 - 1.069 ms {}
GET /api/persons 200 332 - 0.902 ms {}
GET /api/persons 200 332 - 0.680 ms {}
GET /api/persons 200 332 - 0.891 ms {}
GET /api/persons 200 332 - 0.706 ms {}
GET / 404 139 - 1.801 ms {}
GET /api/persons/2 200 53 - 0.903 ms {}
GET /favicon.ico 404 150 - 1.006 ms {}
PUT /api/persons/2 201 - - 0.782 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 0.822 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
GET /api/persons 200 332 - 0.828 ms {}
GET /api/persons 200 332 - 0.774 ms {}
GET /api/persons 200 332 - 0.885 ms {}
GET /api/persons 200 332 - 1.252 ms {}
POST /api/persons/ 200 48 - 0.929 ms {"name":"Jose Miguel","number":"6432162"}
GET /api/persons 200 381 - 0.836 ms {}
GET /api/persons 200 381 - 0.623 ms {}
PATCH /api/persons/1 404 154 - 0.699 ms {"name":"Jose Miguel","number":"6432162"}
PATCH /api/persons/1 201 - - 3.010 ms {"name":"Jose Miguel","number":"6432162"}
GET /api/persons 200 332 - 2.901 ms {}
GET /api/persons 200 332 - 1.030 ms {}
GET /api/persons 200 332 - 0.956 ms {}
GET /api/persons 200 332 - 0.620 ms {}
GET /api/persons 200 332 - 0.831 ms {}
GET /api/persons 200 332 - 0.718 ms {}
PATCH /api/persons/1 201 - - 1.016 ms {"name":"Jose Miguel","number":"6432162"}
PATCH /api/persons/1 201 - - 0.778 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
GET /api/persons 200 332 - 0.998 ms {}
GET /api/persons 200 332 - 0.874 ms {}
GET /api/persons 200 332 - 0.716 ms {}
GET /api/persons 200 332 - 0.593 ms {}
PATCH /api/persons/1 201 - - 0.788 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 0.812 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.026 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.098 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 1.179 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 2.966 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.103 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.168 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.098 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.041 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 2.976 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.219 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 1.095 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.324 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.115 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.078 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 2.964 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.033 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 500 1432 - 3.919 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.362 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.096 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.085 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.201 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.612 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
GET /api/persons 200 332 - 3.028 ms {}
GET /api/persons 200 332 - 1.011 ms {}
GET /api/persons 200 332 - 0.867 ms {}
GET /api/persons 200 332 - 0.613 ms {}
PUT /api/persons/1 201 - - 1.134 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.053 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.255 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 500 1427 - 3.878 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.105 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.437 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.470 ms {"id":"1","name":"Jose Miguel","number":"6432162"}
PUT /api/persons/1 201 - - 3.772 ms {"id":"1","name":"Arto Hellas","number":"6432162"}
PUT /api/persons/1 201 - - 3.517 ms {"id":"1","name":"Arto Hellas","number":"6432162"}
PUT /api/persons/1 201 - - 3.842 ms {"id":"1","name":"Arto Hellas","number":"6432162"}
PUT /api/persons/1 201 - - 4.030 ms {"id":"1","name":"Arto Hellas","number":"6432162"}
PUT /api/persons/1 201 - - 3.465 ms {"id":"1","name":"Arto Hellas","number":"6432162"}
PUT /api/persons/1 201 - - 3.101 ms {"id":"1","name":"Arto Hellas","number":"6432162"}
GET /api/persons 200 332 - 4.259 ms {}
GET /api/persons 200 332 - 1.068 ms {}
PUT /api/persons/1 500 1460 - 2.585 ms {"id":"1","name":"Tonto","number":"6432162"}
PUT /api/persons/1 500 1462 - 3.882 ms {"id":"1","name":"Tonto","number":"6432162"}
PUT /api/persons/1 500 1462 - 3.776 ms {"id":"1","name":"Tonto","number":"6432162"}
PUT /api/persons/1 201 - - 3.023 ms {"id":"1","name":"Tonto","number":"6432162"}
GET /api/persons 200 332 - 2.626 ms {}
GET /api/persons 200 332 - 0.872 ms {}
PUT /api/persons/1 201 - - 3.170 ms {"id":"1","name":"Carlos Almiñana","number":"6432162"}
PUT /api/persons/1 201 - - 3.303 ms {"id":"1","name":"Carlos Almiñana","number":"6432162"}
GET /api/persons 200 337 - 2.579 ms {}
GET /api/persons 200 337 - 0.982 ms {}
OPTIONS /api/persons/1 204 0 - 0.956 ms {}
PUT /api/persons/1 500 1462 - 3.492 ms {"name":"Jose Antonio","number":"040-123456","id":"2e12e8d3-c8a0-4799-9cd5-85303d6ed504"}
GET /api/persons 200 332 - 2.362 ms {}
GET /api/persons 200 332 - 0.865 ms {}
GET /api/persons 200 332 - 0.813 ms {}
GET /api/persons 200 332 - 0.718 ms {}
PUT /api/persons/1 201 - - 0.930 ms {"id":"1","name":"Carlos Almiñana","number":"6432162"}
GET /api/persons 200 337 - 0.886 ms {}
GET /api/persons 200 337 - 0.763 ms {}
GET /api/persons 200 337 - 0.808 ms {}
GET /api/persons 200 337 - 0.830 ms {}
GET /api/persons 200 337 - 0.725 ms {}
GET /api/persons 200 337 - 0.603 ms {}
OPTIONS /api/persons 204 0 - 0.194 ms {}
POST /api/persons 200 50 - 1.168 ms {"name":"Carlos","number":"12331 123 132 4","id":"29501f8e-aaef-45eb-9b56-f8ce5f5581a6"}
GET /api/persons/2 304 - - 1.027 ms {}
GET /api/persons/1 200 56 - 0.778 ms {}
GET /api/persons/7 200 50 - 0.693 ms {}
OPTIONS /api/persons/6 204 0 - 0.888 ms {}
PUT /api/persons/6 500 1462 - 3.625 ms {"name":"WRFWADFW","number":"112-63-126256","id":"583c8e85-8853-4dd8-9ce6-0ebb7d8810a3"}
OPTIONS /api/persons/6 204 0 - 0.860 ms {}
PUT /api/persons/6 500 1461 - 3.643 ms {"name":"WRFWADFW","number":"112-63-126256","id":"91cedacc-53fc-4b38-9b1d-830885115843"}
GET /api/persons 200 332 - 2.326 ms {}
OPTIONS /api/persons/6 204 0 - 0.184 ms {}
PUT /api/persons/6 500 1461 - 1.468 ms {"name":"fdsafsd","number":"112-63-126256","id":"63a554c4-450a-4325-b7ad-fb1c2388678c"}
PUT /api/persons/1 201 - - 3.610 ms {"id":"1","name":"Carlos Almiñana","number":"6432162"}
PUT /api/persons/1 201 - - 3.173 ms {"id":"1","name":"Carlos Almiñana","number":"6432162"}
PUT /api/persons/1 201 - - 2.974 ms {"id":"1","name":"Carlos Almiñana","number":"6432162"}
GET /api/persons 200 332 - 2.061 ms {}
GET /api/persons 200 332 - 4.033 ms {}
PUT /api/persons/1 500 1462 - 3.709 ms {"id":"1","name":"Carlos Almiñana","number":"39-44-123456"}
OPTIONS /api/persons/2 204 0 - 0.504 ms {}
PUT /api/persons/2 500 1462 - 1.409 ms {"name":"fdsafdasfdsa","number":"39-44-123456","id":"66e8ab90-f619-4501-acc4-9dc53d6f555f"}
OPTIONS /api/persons/2 204 0 - 0.158 ms {}
PUT /api/persons/2 500 1462 - 1.629 ms {"name":"fdsafdasfdsa","number":"39-44-123456","id":"ffd407d0-3cf0-4ecd-bd7a-eabf1572c857"}
PUT /api/persons/1 500 1462 - 0.930 ms {"id":"1","name":"Carlos Almiñana","number":"39-44-123456"}
PUT /api/persons/1 500 1462 - 0.946 ms {"id":"1","name":"Carlos Almiñana","number":"39-44-123456"}
GET /api/persons 200 332 - 2.442 ms {}
GET /api/persons 200 332 - 0.832 ms {}
PUT /api/persons/1 500 1462 - 0.898 ms {"id":"1","name":"Carlos Almiñana","number":"39-44-123456"}
PUT /api/persons/1 500 1462 - 1.303 ms {"id":"1","name":"Carlos Almiñana","number":"39-44-123456"}
PUT /api/persons/1 500 1462 - 0.975 ms {"id":"1","name":"Carlos Almiñana","number":"39-44-123456"}
OPTIONS /api/persons/5 204 0 - 0.096 ms {}
PUT /api/persons/5 500 1462 - 1.137 ms {"name":"fdsafdsafdas","number":"312-23-123456","id":"d265df8a-69da-4ee3-9a3a-4aaba02daaf5"}
OPTIONS /api/persons/5 204 0 - 0.096 ms {}
PUT /api/persons/5 500 1462 - 1.011 ms {"name":"fdsafdsafdas","number":"312-23-123456","id":"c0506b04-9179-4b57-bbc3-2107bdf46605"}
OPTIONS /api/persons/5 204 0 - 0.881 ms {}
PUT /api/persons/5 500 1462 - 3.193 ms {"name":"fdsafdsafdas","number":"312-23-123456"}
OPTIONS /api/persons/5 204 0 - 0.868 ms {}
PUT /api/persons/5 201 - - 2.817 ms {"name":"fdsafdsafdas","number":"312-23-123456"}
GET /api/persons 200 332 - 2.631 ms {}
GET /api/persons 200 332 - 0.921 ms {}
OPTIONS /api/persons/5 204 0 - 0.884 ms {}
PUT /api/persons/5 500 1462 - 3.399 ms {"name":"fdsafdsafdas","number":"312-23-123456"}
OPTIONS /api/persons/5 204 0 - 0.862 ms {}
PUT /api/persons/5 500 1462 - 3.292 ms {"name":"fdsafdsafdas","number":"312-23-123456"}
OPTIONS /api/persons/5 204 0 - 0.994 ms {}
PUT /api/persons/5 500 1462 - 3.362 ms {"name":"fdsafdsafdas","number":"312-23-123456"}
OPTIONS /api/persons/5 204 0 - 0.882 ms {}
PUT /api/persons/5 500 1462 - 4.583 ms {"name":"fdsafdsafdas","number":"312-23-123456"}
OPTIONS /api/persons/5 204 0 - 0.859 ms {}
PUT /api/persons/5 500 1462 - 3.409 ms {"name":"fdsafdsafdas","number":"312-23-123456"}
OPTIONS /api/persons/5 204 0 - 0.865 ms {}
PUT /api/persons/5 500 1462 - 3.585 ms {"name":"fdsafdsafdas","number":"312-23-123456"}
OPTIONS /api/persons/5 204 0 - 0.876 ms {}
PUT /api/persons/5 500 1462 - 3.283 ms {"name":"fdsafdsafdas","number":"312-23-123456"}
OPTIONS /api/persons/5 204 0 - 0.886 ms {}
PUT /api/persons/5 500 1434 - 3.319 ms {"name":"fdsafdsafdas","number":"312-23-123456"}
OPTIONS /api/persons/5 204 0 - 1.038 ms {}
PUT /api/persons/5 500 1434 - 3.293 ms {"name":"fdsafdsafdas","number":"312-23-123456"}
OPTIONS /api/persons/5 204 0 - 0.874 ms {}
PUT /api/persons/5 500 1434 - 3.841 ms {"name":"fdsafdsafdas","number":"312-23-123456"}
OPTIONS /api/persons/5 204 0 - 0.862 ms {}
PUT /api/persons/5 500 1434 - 3.371 ms {"name":"fdsafdsafdas","number":"312-23-123456"}
OPTIONS /api/persons/5 204 0 - 0.883 ms {}
PUT /api/persons/5 201 - - 2.632 ms {"name":"fdsafdsafdas","number":"312-23-123456"}
GET /api/persons 200 331 - 2.348 ms {}
OPTIONS /api/persons/6 204 0 - 0.258 ms {}
PUT /api/persons/6 201 - - 1.102 ms {"name":"Carlos Cuqoreklla","number":"112-63-126256"}
GET /api/persons 200 336 - 0.790 ms {}
GET /api/persons/ 200 2 - 4.146 ms {}
GET /favicon.ico 200 3870 - 5.215 ms {}
GET /api/persons/ 200 31 - 4.338 ms {}
GET /favicon.ico 304 - - 2.654 ms {}
GET /api/persons/ 304 - - 4.047 ms {}
GET /favicon.ico 304 - - 2.567 ms {}
